115,Fresh Eyes,Andy Grammer,489550,2017-01-01,['neo mellow'; 'pop rock'; 'pop'; 'post-teen pop'; 'modern rock'; 'dance pop']
116,Vacaciones,Wisin,487214,2017-01-01,['latin'; 'reggaeton'; 'latin hip hop'; 'trap latino']
117,Bohemian Rhapsody - Remastered 2011,Queen,482964,2017-01-01,['glam rock'; 'classic rock'; 'rock']
118,pick up the phone,Young Thug,480609,2017-01-01,['rap'; 'melodic rap'; 'trap'; 'atl hip hop'; 'atl trap'; 'pop rap'; 'hip hop'; 'gangster rap']
119,You Was Right,Lil Uzi Vert,476850,2017-01-01,['melodic rap'; 'philly rap'; 'rap'; 'trap']
120,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,476309,2017-01-01,['chicano rap']
121,Roses (feat. ROZES),The Chainsmokers,475190,2017-01-01,['pop'; 'pop dance'; 'tropical house'; 'edm'; 'electropop'; 'dance pop']
122,Jumpman,Drake,473297,2017-01-01,['toronto rap'; 'canadian pop'; 'canadian hip hop'; 'rap'; 'pop rap'; 'hip hop']
123,Photograph,Ed Sheeran,472142,2017-01-01,['uk pop'; 'pop']
124,PILLOWTALK,ZAYN,470638,2017-01-01,['pop'; 'post-teen pop'; 'uk pop'; 'dance pop']
125,Pumped Up Kicks,Foster The People,467384,2017-01-01,['modern rock'; 'indietronica'; 'rock'; 'modern alternative rock'; 'pop']
126,What Do You Mean?,Justin Bieber,464343,2017-01-01,['canadian pop'; 'post-teen pop'; 'pop']
127,Lush Life,Zara Larsson,460606,2017-01-01,['pop'; 'scandipop'; 'dance pop'; 'swedish electropop'; 'post-teen pop'; 'tropical house'; 'swedish pop'; 'pop dance'; 'electropop'; 'edm']
128,Hotline Bling,Drake,459418,2017-01-01,['toronto rap'; 'canadian pop'; 'canadian hip hop'; 'rap'; 'pop rap'; 'hip hop']
129,Redbone,Childish Gambino,455949,2017-01-01,['rap'; 'atl hip hop'; 'pop rap'; 'hip hop']
130,No Money,Galantis,453779,2017-01-01,['pop dance'; 'tropical house'; 'edm'; 'dance pop'; 'pop'; 'electro house']
131,"Happy - From ""Despicable Me 2""",Pharrell Williams,453426,2017-01-01,['pop rap']
132,Hello,Adele,448638,2017-01-01,['pop soul'; 'british soul'; 'uk pop'; 'pop']
133,This Town,Niall Horan,445379,2017-01-01,['pop'; 'post-teen pop'; 'dance pop']
134,Never Be Like You,Flume,445025,2017-01-01,['australian electropop'; 'downtempo'; 'australian dance'; 'australian indie'; 'edm']
135,I Got You,Bebe Rexha,443982,2017-01-01,['pop'; 'dance pop'; 'post-teen pop'; 'electropop']
136,Titanium (feat. Sia),David Guetta,441628,2017-01-01,['big room'; 'dance pop'; 'edm'; 'pop dance'; 'pop']
137,Love on Me,Galantis,441050,2017-01-01,['pop dance'; 'tropical house'; 'edm'; 'dance pop'; 'pop'; 'electro house']
138,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,440038,2017-01-01,['seattle hip hop'; 'pop rap']
139,Me llamas (feat. Maluma) - Remix,Piso 21,439910,2017-01-01,['reggaeton colombiano'; 'colombian pop'; 'reggaeton'; 'trap latino'; 'latin'; 'latin pop']
140,Lighthouse - Andrelli Remix,Hearts & Colors,439245,2017-01-01,"['Sorry'; ""that one doesn't seem to be on any of these maps yet.""]"
141,Thinking out Loud,Ed Sheeran,436476,2017-01-01,['uk pop'; 'pop']
142,I Want You Back,The Jackson 5,436184,2017-01-01,['motown'; 'soul']
143,Weak,AJR,428247,2017-01-01,['modern rock'; 'pop rap']
144,Stitches,Shawn Mendes,426162,2017-01-01,['pop'; 'canadian pop'; 'viral pop'; 'post-teen pop'; 'dance pop']
145,Neighbors,J. Cole,425033,2017-01-01,['north carolina hip hop'; 'conscious hip hop'; 'rap'; 'hip hop']
